node_id,concept,country_of_citizenship,date_of_birth,enwiki_title,handedness,height,inception,mass,name,native_language,nickname,owners,place_of_birth,schools_attended,sex_or_gender,work_period_end,work_period_start
Q71127,player,United States of America,08 April 1940,John Havlicek,,196 centimetre,,92 kilogram,John Havlicek,English,,,Martins Ferry,Bridgeport High School; Ohio State University,male,1978,1962
Q71980,player,United States of America,12 October 1970,Charlie Ward,,188 centimetre,,86 kilogram,Charlie Ward,English,,,Thomasville,Florida State University; Thomas County Central High School,male,2005,1994
Q372341,player,United States of America,18 November 1975,"Jason Williams (basketball, born 1975)",,185 centimetre,,86 kilogram,Jason Williams,English,J-Will; J-Dub; The White Shadow; White Folks; White Chocolate; Duck; Showtime,,Charleston,Marshall University; University of Florida; DuPont High School; Riverside High School,male,2011,1998
Q142214,player,Croatia; Socialist Federal Republic of Yugoslavia,24 April 1967,Dino Ra%C4%91a,,211 centimetre,,120 kilogram,Dino Rađa,,,,Split,,male,2003,
Q277780,player,Socialist Federal Republic of Yugoslavia; Serbia; Greece; Serbia and Montenegro,09 June 1977,Peja Stojakovi%C4%87,,206 centimetre,,100 kilogram,Peja Stojaković,,,,Požega,,male,2011,1992
Q278116,player,Argentina,29 August 1982,Carlos Delfino,,198 centimetre,,104 kilogram,Carlos Delfino,,,,Santa Fe,,male,,1998
Q317527,player,France,16 April 1982,Boris Diaw,,203 centimetre,,113 kilogram,Boris Diaw,,Bobo,,Cormeilles-en-Parisis,INSEP,male,2018,2001
Q321576,player,United States of America,31 October 1931,Jack Molinas,,198 centimetre,,91 kilogram,Jack Molinas,English,,,New York City,Columbia University; Stuyvesant High School,male,1954,1953
Q370572,player,United States of America,04 July 1974,Adrian Griffin,,196 centimetre,,98 kilogram,Adrian Griffin,English,,,Wichita,Seton Hall University; Wichita East High School,male,2008,1996
Q380006,player,Lithuania,14 February 1978,Darius Songaila,,206 centimetre,,113 kilogram,Darius Songaila,,,,Marijampolė,Wake Forest University; New Hampton School,male,2015,2002
Q278594,player,United States of America,04 October 1963,A.C. Green,,206 centimetre,,100 kilogram,A. C. Green,,,,Portland,Benson Polytechnic High School; Oregon State University,male,2001,1985
Q280437,player,Croatia,05 April 1980,Mario Kasun,,213 centimetre,,117 kilogram,Mario Kasun,,,,Vinkovci,,male,2014,1996
Q282290,player,United States of America,15 September 1917,Buddy Jeannette,,180 centimetre,,80 kilogram,Buddy Jeannette,English,,,New Kensington,Washington & Jefferson College,male,1950,1938
Q455831,player,Sweden,02 March 1987,Jonas Jerebko,,206 centimetre,,105 kilogram,Jonas Jerebko,,,,Borås,,male,,2005
Q460507,player,Yugoslavia,26 February 1970,Predrag Danilovi%C4%87,,196 centimetre,,91 kilogram,Predrag Danilović,,Sasha,,Sarajevo,Cookeville High School,male,2000,1988
Q371821,player,Canada; Haiti,10 May 1981,Samuel Dalembert,,211 centimetre,,114 kilogram,Samuel Dalembert,,,,Port-au-Prince,St. Patrick High School; Seton Hall University,male,2017,2001
Q281499,player,United States of America,05 May 1949,Larry Steele,,196 centimetre,,82 kilogram,Larry Steele,English,,,Greencastle,University of Kentucky,male,1980,1971
Q455757,player,Ukraine,24 December 1986,Kyrylo Fesenko,,216 centimetre,,130 kilogram,Kyrylo Fesenko,,,,Dnipro,,male,,2003
Q456702,player,United States of America,02 May 1980,Troy Murphy,,211 centimetre,,111 kilogram,Troy Murphy,English,,,Morristown,Delbarton School; University of Notre Dame; Columbia University School of General Studies,male,2012,2001
Q460246,player,United States of America,30 April 1985,Brandon Bass,,203 centimetre,,108 kilogram,Brandon Bass,English,,,Baton Rouge,Louisiana State University,male,,2005
Q372180,player,United States of America,20 January 1964,Ron Harper,,198 centimetre,,84 kilogram,Ron Harper,English,,,Dayton,Miami University,male,2001,1986
Q82004,player,United States of America,24 September 1984,Bobby Brown (basketball),,188 centimetre,,80 kilogram; 79 kilogram,Bobby Brown,English,,,Los Angeles,"California State University, Fullerton; Westchester Enriched Sciences Magnets",male,,2007
Q83554,player,United States of America,06 March 1989,Dwight Buycks,,191 centimetre,,86 kilogram,Dwight Buycks,English,,,Milwaukee,Bay View High School; Marquette University,male,,2011
Q376173,player,United States of America,17 March 1984,Chris Copeland,,203 centimetre,,102 kilogram,Chris Copeland,English,,,Orange,University of Colorado Boulder; Hermitage High School,male,,2007
Q274469,player,United States of America,22 February 1986,Rajon Rondo,,185 centimetre,,84 kilogram,Rajon Rondo,English,,,Louisville,University of Kentucky; Eastern High School,male,,2006
Q275889,player,Spain,29 January 1985,Marc Gasol,,216 centimetre,,120 kilogram,Marc Gasol,Catalan,La Tanqueta / Big Marc,,Barcelona,Lausanne Collegiate School,male,,2003
Q317583,player,United States of America,23 July 1982,Gerald Wallace,,202 centimetre,,100 kilogram,Gerald Wallace,English,,,Sylacauga,University of Alabama,male,2015,2001
Q348598,player,United States of America,24 May 1963,Joe Dumars,,190 centimetre,,86 kilogram,Joe Dumars,English,,,Shreveport,McNeese State University; Natchitoches Central High School,male,1999,1985
Q297221,player,United States of America,07 September 1988,Kevin Love,,203 centimetre,,118 kilogram,Kevin Love,English,,,Santa Monica,"Lake Oswego High School; University of California, Los Angeles",male,,2008
Q70486,player,Germany,30 August 1988,Tim Ohlbrecht,,210 centimetre,,98 kilogram; 114 kilogram,Tim Ohlbrecht,,,,Wuppertal,,male,,2005
Q77044,player,Germany; United States of America,28 April 1982,Chris Kaman,,213 centimetre,,120 kilogram,Chris Kaman,English,,,Grand Rapids,Central Michigan University,male,2016,2003
Q370561,player,United States of America,25 June 1975,Michael Dickerson,,196 centimetre,,86 kilogram,Michael Dickerson,English,,,Greenville,University of Arizona; Federal Way High School,male,2010,1998
Q372408,player,United States of America,04 July 1965,Harvey Grant,,203 centimetre,,89 kilogram,Harvey Grant,English,G-Man; The General,,Augusta,Independence Community College; Clemson University; University of Oklahoma,male,1999,1988
Q318908,player,United Kingdom,04 April 1983,Ben Gordon,,191 centimetre,,91 kilogram,Ben Gordon,,,,London,University of Connecticut,male,2017,2004
Q376523,player,United States of America,10 October 1984,Ryan Hollins,,213 centimetre,,104 kilogram,Ryan Hollins,English,,,Pasadena,"University of California, Los Angeles; John Muir High School",male,2017,2006
Q297474,player,Turkey,04 July 1986,%C3%96mer A%C5%9F%C4%B1k,,213 centimetre,,116 kilogram,Ömer Aşık,,Aşik and Destroy; The SuperBull from Istanbul; The Turkish Hammer,,Bursa,,male,,2005
Q112449,player,United States of America,29 January 1967,Stacey King,,211 centimetre,,105 kilogram,Stacey King,English,Pearl; Sky,,Lawton,University of Oklahoma; Lawton High School,male,1999,1989
Q139376,player,United States of America,16 July 1981,Zach Randolph,,206 centimetre,,118 kilogram,Zach Randolph,English,,,Marion,Michigan State University; Marion High School,male,,2001
Q70386,player,Germany,02 January 1964,Chris Welp,,213 centimetre,,111 kilogram,Chris Welp,,,,Delmenhorst,University of Washington; Olympic High School,male,1999,1987
Q451780,player,United States of America,02 September 1948,Nate Archibald,,185 centimetre,,68 kilogram,"Nate ""Tiny"" Archibald",English,,,New York City,Arizona Western College; University of Texas at El Paso; DeWitt Clinton High School; Fordham University,male,1984,1970
Q84553,player,Germany,26 October 1921,Frido Frey,,188 centimetre,,88 kilogram,Frido Frey,,,,Germany,Long Island University,male,1949,1945
Q463074,player,Georgia; Greece,10 June 1979,Jake Tsakalidis,,218 centimetre,,130 kilogram,Jake Tsakalidis,,,,Rustavi,,male,2008,1996
Q339988,player,United States of America,26 August 1954,Leon Douglas,,208 centimetre,,105 kilogram,Leon Douglas,English,,,Leighton,University of Alabama,male,1992,1976
Q132208,player,United States of America,29 June 1981,Joe Johnson (basketball),,201 centimetre,,109 kilogram,Joe Johnson,English,,,Little Rock,Little Rock Central High School; University of Arkansas,male,,2001
Q297750,player,Lithuania; Soviet Union,19 December 1964,Arvydas Sabonis,,222 centimetre,,127 kilogram,Arvydas Sabonis,,,,Kaunas,,male,2005,1981
Q93587,player,United States of America,27 February 1984,James Augustine,,208 centimetre,,107 kilogram,James Augustine,English,Augie,,Midlothian,Lincoln-Way Central High School; University of Illinois at Urbana–Champaign,male,2018,2006
Q297146,player,United States of America,02 October 1982,Tyson Chandler,,218 centimetre,,109 kilogram,Tyson Chandler,English,,,Hanford,Manuel Dominguez High School,male,,2001
Q319614,player,Georgia; Turkey,10 February 1983,Zaza Pachulia,,211 centimetre,,129 kilogram,Zaza Pachulia,Turkish,,,Tbilisi,,male,2019,1999
Q463200,player,United States of America,31 March 1969,Steve Smith (basketball),,203 centimetre,,91 kilogram,Steve Smith,English,,,Highland Park,Michigan State University; Pershing High School,male,2005,1991
Q376586,player,United States of America,06 May 1988,"Ryan Anderson (basketball, born 1988)",,208 centimetre,,106 kilogram,Ryan Anderson,English,Salary Man,,Sacramento,"Oak Ridge High School; University of California, Berkeley",male,,2008
Q339256,player,United States of America,27 October 1959,Rick Carlisle,,196 centimetre,,95 kilogram,Rick Carlisle,English,Flip,,Ogdensburg,University of Maine; Worcester Academy,male,1989,1984
Q298496,player,United States of America,26 June 1984,Deron Williams,,191 centimetre,,91 kilogram,Deron Williams,English,D-Will,,Parkersburg,The Colony High School; University of Illinois at Urbana–Champaign,male,,2005
Q380812,player,Latvia,02 April 1986,Andris Biedri%C5%86%C5%A1,,211 centimetre,,111 kilogram,Andris Biedriņš,,,,Riga,,male,2014,2002
Q381746,player,United States of America,26 October 1985,Monta Ellis,,190 centimetre,,84 kilogram,Monta Ellis,English,,,Jackson,Lanier High School,male,,2005
Q335762,player,United States of America,20 March 1945,Pat Riley,,193 centimetre,,93 kilogram,Pat Riley,English,,,Rome,University of Kentucky; Schenectady High School,male,1976,1967
Q352093,player,United States of America,13 October 1961,Doc Rivers,,193 centimetre,,84 kilogram,Doc Rivers,English,,,Chicago,Proviso East High School; Marquette University,male,1996,1983
Q373938,player,United States of America,31 August 1969,Victor Alexander,,206 centimetre,,120 kilogram,Victor Alexander,English,,,Detroit,Iowa State University; Denby High School,male,2004,1991
Q294788,player,Russia; United States of America; Soviet Union,18 February 1981,Andrei Kirilenko,,209 centimetre,,102 kilogram,Andrei Kirilenko,English,AK-47,,Izhevsk,,male,2015,1997
Q374536,player,Kingdom of the Netherlands,23 August 1966,Rik Smits,,224 centimetre,,114 kilogram,Rik Smits,,,,Eindhoven,Marist College,male,2000,1988
Q352159,player,United States of America,14 March 1988,Stephen Curry,right-handedness,188 centimetre,,86 kilogram,Stephen Curry,English,"Steph, Chef Curry, Splash Brother",,Akron,Charlotte Christian School; Davidson College; Davidson College,male,,2009
Q456776,player,United States of America,14 March 1946,Wes Unseld,,201 centimetre,,111 kilogram,Wes Unseld,English,,,Louisville,Seneca High School MCA; University of Louisville,male,1981,1968
Q375189,player,Slovenia,21 February 1984,Erazem Lorbek,,208 centimetre,,113 kilogram,Erazem Lorbek,,,,Ljubljana,Michigan State University,male,2018,1999
Q375230,player,United States of America,07 April 1946,Zaid Abdul-Aziz,,206 centimetre,,107 kilogram,Zaid Abdul-Aziz,English,,,Brooklyn,John Jay Educational Campus; Iowa State University,male,1978,1968
Q375525,player,United States of America,17 March 1981,Kyle Korver,,201 centimetre,,96 kilogram,Kyle Korver,English,,,Lakewood,Creighton University,male,,2003
Q464312,player,United States of America,13 August 1990,DeMarcus Cousins,,211 centimetre,,122 kilogram,DeMarcus Cousins,English,Boogie,,Mobile,LeFlore Magnet High School; University of Kentucky,male,,2010
Q380802,player,Canada,24 July 1969,Rick Fox,,201 centimetre,,104 kilogram,Rick Fox,,,,Toronto,University of North Carolina at Chapel Hill; University of North Carolina at Chapel Hill; Warsaw Community High School,male,2004,1991
Q384989,player,United States of America,06 December 1969,Elmore Spencer,,213 centimetre,,123 kilogram,Elmore Spencer,English,,,Atlanta,University of Georgia; Washington High School,male,2001,1992
Q489158,player,Lebanon; United States of America,06 June 1981,Jackson Vroman,,208 centimetre,,100 kilogram,Jackson Vroman,English,,,Laguna,Iowa State University; Viewmont High School,male,2015,2004
Q463212,player,United States of America,29 April 1983,David Lee (basketball),,206 centimetre,,113 kilogram,David Lee,English,,,St. Louis,Chaminade College Preparatory School; University of Florida; John Burroughs School,male,2017,2005
Q493027,player,United States of America,22 August 1986,Andray Blatche,,211 centimetre,,107 kilogram,Andray Blatche,English,,,Syracuse,South Kent School; Henninger High School,male,,2005
Q456766,player,United States of America,09 April 1928,Paul Arizin,,193 centimetre,,86 kilogram,Paul Arizin,English,,,Philadelphia,Villanova University; La Salle College High School,male,1965,1950
Q459463,player,Dominican Republic; United States of America,24 August 1984,Charlie Villanueva,,211 centimetre,,109 kilogram,Charlie Villanueva,English,,,Queens,University of Connecticut; Newtown High School; Blair Academy,male,2016,2005
Q472790,player,United States of America,31 December 1971,Brent Barry,,198 centimetre,,95 kilogram,Brent Barry,English,,,Hempstead,De La Salle High School; Oregon State University,male,2009,1995
Q386736,player,United States of America,06 January 1991,Will Barton,,196 centimetre,,77 kilogram,Will Barton,English,,,Baltimore,University of Memphis; Brewster Academy; Lake Clifton Eastern High School,male,,2012
Q380541,player,United States of America,19 February 1980,"Mike Miller (basketball, born 1980)",,203 centimetre,,99 kilogram,Mike Miller,English,Mike,,Mitchell,University of Florida; Mitchell High School,male,2017,2000
Q150327,player,United States of America,17 October 1966,Danny Ferry,,208 centimetre,,100 kilogram,Danny Ferry,English,,,Baltimore,Duke University; DeMatha Catholic High School,male,2003,1989
Q121647,player,United States of America,13 October 1977,Paul Pierce,,201 centimetre,,107 kilogram,Paul Pierce,English,,,Oakland,University of Kansas; Inglewood High School,male,2017,1998
Q125060,player,Spain,12 June 1986,Sergio Rodr%C3%ADguez,,192 centimetre,,76 kilogram,Sergio Rodríguez,,,,Santa Cruz de Tenerife,,male,,2003
Q129041,player,United States of America,29 May 1984,Carmelo Anthony,,203 centimetre,,108 kilogram; 220 pound,Carmelo Anthony,English,,,Brooklyn,Syracuse University; Towson Catholic High School; Oak Hill Academy,male,2023,2003
Q131942,player,United States of America,10 November 1984,Kendrick Perkins,,208 centimetre,,120 kilogram,Kendrick Perkins,English,,,Nederland,Clifton J. Ozen High School; Beaumont Independent School District,male,2018,2003
Q163754,player,Spain; United States of America,30 December 1963,Johnny Rogers,,208 centimetre,,102 kilogram,Johnny Rogers,English,,,Fullerton,Stanford University,male,2004,1986
Q169452,player,United States of America,06 March 1972,Shaquille O%27Neal,right-handedness,2.16 metre,,147 kilogram,Shaquille O'Neal,English,Diesel; Shaqqy; Shaq,,Newark,Barry University; New York Film Academy; Louisiana State University; Louisiana State University; University of Phoenix; Robert G. Cole Junior-Senior High School; Syracuse University,male,2011,1993
Q175441,player,United States of America,08 August 1979,Rashard Lewis,,208 centimetre,,104 kilogram,Rashard Lewis,English,,,Pineville,Alief Elsik High School,male,2014,1998
Q301863,player,United States of America,30 November 1975,Mark Blount,,211 centimetre,,107 kilogram,Mark Blount,English,,,Yonkers,University of Pittsburgh; Summerville High School,male,2010,1997
Q302068,player,United States of America,07 December 1984,Aaron Gray,,213 centimetre,,123 kilogram,Aaron Gray,English,,,Tarzana,Emmaus High School; University of Pittsburgh,male,2014,2007
Q324842,player,United States of America,10 May 1959,Danny Schayes,,211 centimetre,,107 kilogram,Danny Schayes,English,,,Syracuse,Syracuse University; Jamesville-DeWitt High School,male,1999,1981
Q325977,player,United States of America,13 November 1946,Luther Green,,201 centimetre,,86 kilogram,Luther Green,English,,,New York City,Long Island University; DeWitt Clinton High School,male,1979,1969
